Charter number,Year and quarter,Year,Quarter ,Credit Union name,Street  (Mailing address),City  (Mailing address),State (Mailing address),Zip code (Mailing address),Credit Union type,NCUA region,Low-income designation,Members,Total assets,Total loans,Total deposits,Return on average assets,Net worth ratio (excludes CECL transition provision),Loan-to-share ratio,"Total deposits, 4 quarter growth  (%)","Total loans,  4 quarter growth  (%)","Total assets,  4 quarter growth  (%)","Members, 4 quarter growth  (%)","Net worth,  4 quarter growth (excludes CECL transition provision) (%)",NCUA internal ID (join_number)
24029,2024.1,2024,1,SCIENT,60 Colver Avenue,Groton,CT,06340,FCU,1,No,19448,354951597,292247744,271844235,0.27,8.78,107.51,-12.5,-2.66,-0.91,-4.17,1.58,14157
24030,2024.1,2024,1,NEW RISING STAR,10605 MACK,DETROIT,MI,48213,FCU,1,Yes,139,113356,4500,102349,3.64,10.02,4.4,4.74,-44.61,5.7,3.73,19.25,14158
24034,2024.1,2024,1,NOTRE DAME,P.O. Box 7878,Notre Dame,IN,46556,FCU,2,Yes,65377,1138210083,965382154,1013827425,0.83,9.81,95.22,8.44,-1.42,-0.82,2.68,18.04,14162
24036,2024.1,2024,1,STEWART'S,PO Box 435,Saratoga Spring,NY,12866,FCU,1,No,3734,42519438,13442065,39340604,0.44,6.37,34.17,6.84,16.42,7.8,9.89,5.25,14164
24039,2024.1,2024,1,N.I.C.E.,11 S 2nd Ave,Saint Charles,IL,60174,FCU,3,Yes,360,2326740,1636008,2129810,-0.02,8.16,76.81,-1.83,4.09,-1.68,-2.17,1.65,14167
24043,2024.1,2024,1,MESSIAH BAPTIST-JUBILEE,P O BOX 696,BROCKTON,MA,02303,FCU,1,Yes,240,961717,298482,778113,3.62,19.09,38.36,-20.9,9.48,-15.54,-18.64,18.54,14171
24047,2024.1,2024,1,FOREST AREA,PO Box 118,Fife Lake,MI,49633,FCU,1,Yes,19113,253934784,178907388,224612034,2.02,12.02,79.65,9.61,6.46,9.6,3.69,16.59,14175
24063,2024.1,2024,1,FOUNDERS,737 Plantation Rd,Lancaster,SC,29720,FCU,2,Yes,265251,4725575916,3625157481,3939641869,1.15,11.66,92.02,9.54,8.5,14.24,4.37,11.86,14191
24073,2024.1,2024,1,PARAMOUNT BAPTIST CHURCH,3924 4th St SE,Washington,DC,20032,FCU,1,No,376,162194,97713,102424,7.5,36.85,95.4,11.56,-16.2,10.99,-20.84,15.31,14201
24077,2024.1,2024,1,ALTRA,1700 OAK FOREST DR,ONALASKA,WI,54650,FCU,3,Yes,149232,2878411462,2504306920,2414258081,0.64,10.47,103.73,11.94,6.6,9.18,7.22,8.43,14205
24078,2024.1,2024,1,ADVANCE FINANCIAL,31 W US HIGHWAY 30,SCHERERVILLE,IN,46375,FCU,2,No,8347,127292706,67623427,115802722,-0.31,12.29,58.4,-5.39,-6.28,-4.44,-6.18,1.09,14206
24090,2024.1,2024,1,NATRIUM EMPLOYEES,PO Box 168,Proctor,WV,26055,FCU,1,Yes,735,10957820,5722461,9889703,1.25,9.5,57.86,-17.06,16.75,-15.0,-4.3,8.71,14218
24108,2024.1,2024,1,INDIANA HEARTLAND,402 S BERKLEY RD,KOKOMO,IN,46901,FCU,2,Yes,4654,40791890,32752818,36548037,1.05,10.18,89.62,21.68,8.5,20.94,-17.16,13.81,14236
24110,2024.1,2024,1,SAN DIEGO FIREFIGHTERS,4926 La Cuenta Drive,San Diego,CA,92124,FCU,3,No,3582,130512746,67781653,124164122,0.31,7.96,54.59,-2.59,-2.29,-2.28,-1.13,2.48,14238
24123,2024.1,2024,1,M.W.P.H. GRAND LODGE OF ILLINOIS,809 E 42ND PL,CHICAGO,IL,60653,FCU,3,Yes,410,676861,1422,619457,2.44,8.48,0.23,4.2,640.63,5.67,48.55,24.71,14251
24131,2024.1,2024,1,UNION YES,P O BOX 1849,ORANGE,CA,92856,FCU,3,Yes,21685,86339127,41529211,79322379,0.75,6.38,52.35,-5.55,6.54,-6.24,0.51,3.63,14259
24140,2024.1,2024,1,NORTH CAROLINA PRESS ASSOCIATION,PO BOX 27744,RALEIGH,NC,27690,FCU,2,Yes,1340,9788224,2341146,8077225,2.23,17.22,28.98,-13.44,-8.7,-9.75,-1.62,12.9,14268
24150,2024.1,2024,1,HEALTHCARE EMPLOYEES,"29 EMMONS DRIVE, SUITE C-40",PRINCETON,NJ,08540,FCU,1,No,14641,132401852,70188790,118969176,0.63,10.62,59.0,-7.77,-10.33,-6.23,-4.11,7.29,14278
24165,2024.1,2024,1,UNIVERSITY OF KENTUCKY,1730 Alysheba Way,Lexington,KY,40509,FCU,2,Yes,106804,1529724785,1283869051,1252445245,0.79,10.56,102.51,6.55,7.5,6.2,3.69,11.69,14293
24167,2024.1,2024,1,NEW COMMUNITY,274 S Orange Ave,Newark,NJ,07103,FCU,1,Yes,3567,3139982,1090541,2692883,0.22,12.86,40.5,-7.28,-8.93,-6.51,-1.3,2.16,14295
24171,2024.1,2024,1,INDEPENDENT,3737 S SCATTERFIELD RD,ANDERSON,IN,46013,FCU,2,Yes,6515,89375115,61308838,80183535,1.2,9.93,76.46,-3.95,4.72,-2.79,0.62,13.07,14299
24181,2024.1,2024,1,ADVANTAGE,70 Metro Park,Rochester,NY,14623,FCU,1,Yes,34937,488921886,340538142,370387383,0.36,8.73,91.94,-4.22,0.23,0.46,-0.76,5.83,14308
24187,2024.1,2024,1,ARIZE,650 Science Park Rd,State College,PA,16803,FCU,1,Yes,11943,158365993,102168229,145632241,0.16,8.06,70.15,10.21,13.17,12.0,4.31,9.32,14314
24189,2024.1,2024,1,CENTRAL NEBRASKA,609 S. LOCUST,GRAND ISLAND,NE,68801,FCU,3,No,1150,11960880,5068336,10631544,1.0,8.89,47.67,-4.91,29.77,-2.81,-1.46,12.2,14316
24192,2024.1,2024,1,BEVERLY MUNICIPAL,139 Cabot St,Beverly,MA,01915,FCU,1,Yes,1809,17349342,14822689,14852997,0.45,11.4,99.8,6.93,26.91,8.17,0.84,3.9,14319
24197,2024.1,2024,1,MIL-WAY,2000 ARKANSAS BLVD,TEXARKANA,AR,71854,FCU,2,Yes,12709,170191793,90525974,150924608,0.37,10.21,59.98,-2.48,-5.23,-1.5,-0.28,3.91,14324
24199,2024.1,2024,1,COMMUNITY FIRST,9637 N GREENVILLE,LAKEVIEW,MI,48850,FCU,1,Yes,12880,126849406,115168976,115305170,0.24,7.58,99.88,10.24,7.34,10.15,4.73,23.98,14326
24200,2024.1,2024,1,LOGAN COUNTY SCHOOL EMPLOYEES,PO 601,Logan,WV,25601,FCU,1,Yes,404,1431346,271289,1182544,0.37,17.18,22.94,-3.72,-23.98,-3.2,0.0,-0.99,14327
24202,2024.1,2024,1,TELCOE,PO BOX 34200,LITTLE ROCK,AR,72203,FCU,2,Yes,22462,458336140,139269466,396916272,-0.08,21.04,35.09,1.99,6.5,0.86,-1.47,-0.17,14329
24204,2024.1,2024,1,EVERGLADES,1099 W Ventura Ave,Clewiston,FL,33440,FCU,2,Yes,5533,57996254,35218666,51900787,-0.62,9.2,67.86,2.99,14.15,3.55,4.46,-0.89,14331
24212,2024.1,2024,1,SCHOOLSFIRST,P.O. BOX 11547,SANTA ANA,CA,92711,FCU,8,No,1391901,30601566887,19220167010,25329278833,0.4,9.8,75.88,2.88,10.68,7.12,7.04,5.3,14339
24219,2024.1,2024,1,MT. AIRY BAPTIST CHURCH,1100 N Capitol St NW Fl 2,Washington,DC,20002,FCU,1,Yes,236,1146966,343523,776994,2.63,32.26,44.21,2.34,2.81,4.52,-4.84,9.41,14346
24220,2024.1,2024,1,KEMBA DELTA,"3108 N Germantown Rd, Ste 106",Bartlett,TN,38133,FCU,2,No,5034,30250838,14003476,21676068,2.06,25.54,64.6,-7.27,-20.15,-2.71,-0.71,8.29,14347
24221,2024.1,2024,1,CHATTAHOOCHEE,P.O. BOX 8,VALLEY,AL,36854,FCU,2,Yes,2885,21876439,11787973,19057830,1.13,12.31,61.85,-2.06,5.4,-0.33,-3.93,9.68,14348
24223,2024.1,2024,1,USF FEDERAL CREDIT UNION,PO Box 47989,Tampa,FL,33646,FCU,2,Yes,73359,1139993990,905544457,950460176,0.23,9.21,95.27,0.85,-7.26,-0.31,-0.34,5.48,14350
24224,2024.1,2024,1,ROCKLAND,241 UNION ST,ROCKLAND,MA,02370,FCU,1,No,199162,3059777670,2775857802,2684850033,0.5,10.92,103.39,13.63,8.59,9.94,4.14,3.92,14351
24226,2024.1,2024,1,P.S.E. & G. NUCLEAR EMPLOYEES,P.O. BOX 232,HANCOCKS BRIDGE,NJ,08038,FCU,1,No,1059,9768595,5839710,8435382,-0.79,13.59,69.23,-8.36,10.37,-6.16,-3.38,10.45,14353
24232,2024.1,2024,1,LOWER EAST SIDE PEOPLE'S,37 AVENUE B,NEW YORK,NY,10009,FCU,1,Yes,9651,87996643,56478970,65600136,0.22,18.89,86.1,-8.31,8.26,-1.75,2.94,4.09,14359
24234,2024.1,2024,1,OMEGA PSI PHI FRATERNITY,"568 Liberty Hill Rd, c/o Peach Stat",Toccoa,GA,30577,FCU,2,Yes,2479,5056367,2585071,4609956,2.29,8.51,56.08,23.13,62.17,22.1,15.25,12.66,14361
24235,2024.1,2024,1,OPERATING ENGINEERS LOCAL UNION #3,P O BOX 5073,LIVERMORE,CA,94551,FCU,3,Yes,108387,1476882076,870432412,1278555534,0.41,14.95,68.08,1.01,-1.78,2.33,6.26,5.02,14362
24236,2024.1,2024,1,HUNTINGTON C & O RAILWAY EMPLOYEES,PO Box 4127,Huntington,WV,25729,FCU,1,Yes,4939,33209261,18484868,28937160,0.53,12.65,63.88,-9.26,-4.75,-8.14,-3.74,2.76,14363
24238,2024.1,2024,1,CALIFORNIA ADVENTIST,P.O. Box 1109,Glendale,CA,91209,FCU,3,No,2101,44184234,30178458,36048397,1.25,18.13,83.72,-1.61,2.1,-2.28,8.97,-4.39,14365
24239,2024.1,2024,1,SOMERSET,740 County Street,Somerset,MA,02726,FCU,1,No,13434,234708524,148028363,200588569,0.73,12.57,73.8,0.39,11.24,2.75,1.69,5.61,14366
24246,2024.1,2024,1,MT. JEZREEL,420 University Blvd E,Silver Spring,MD,20901,FCU,1,Yes,350,222992,12790,190910,5.92,14.39,6.7,-31.63,130.53,-27.84,-22.39,7.66,14373
24250,2024.1,2024,1,I-C,300 BEMIS RD,FITCHBURG,MA,01420,FCU,1,Yes,36303,629083000,488435097,521832485,-1.0,9.83,93.6,-4.48,-14.36,-7.08,-7.93,-5.44,14377
24254,2024.1,2024,1,FIRST CITIZENS',200 Mill Rd Ste 100,FAIRHAVEN,MA,02719,FCU,1,No,50512,709457963,579034475,571508099,1.52,17.82,101.32,-14.49,-15.59,-10.42,-28.48,11.2,14381
24257,2024.1,2024,1,RIVER TOWN,PO BOX 305,FORT SMITH,AR,72902,FCU,2,Yes,2647,19285922,11946577,16776375,1.17,11.04,71.21,-5.48,-6.98,-3.9,-2.22,4.77,14384
24262,2024.1,2024,1,PHI BETA SIGMA,145 Kennedy St. N. W,Washington,DC,20011,FCU,1,Yes,1205,934310,406988,759760,-5.17,20.64,53.57,-2.64,42.5,2.48,9.85,39.39,14389
24266,2024.1,2024,1,M.A.B.C.,2012 69TH AVE,PHILADELPHIA,PA,19138,FCU,1,Yes,141,159928,28691,130000,4.26,18.71,22.07,0.33,39.24,1.9,-11.88,9.34,14393
24270,2024.1,2024,1,FIRST FRONTIER,155 SHERMAN ST,LYNBROOK,NY,11563,FCU,1,No,125,497913,348833,419580,0.89,15.73,83.14,2.31,9.42,2.83,15.74,5.71,14397
24273,2024.1,2024,1,MISSISSIPPI CENTRAL,5134 Highway 80,Morton,MS,39117,FCU,2,Yes,2298,2028330,1099121,1838521,-13.95,8.7,59.78,-12.87,-3.86,-15.04,-2.3,-33.41,14400
24274,2024.1,2024,1,GREECE COMMUNITY,1795 ENGLISH RD,ROCHESTER,NY,14616,FCU,1,No,1432,13015512,8552463,11737757,0.7,9.67,72.86,4.85,-2.16,5.62,0.07,13.13,14401
24279,2024.1,2024,1,GFA,229 Parker St,Gardner,MA,01440,FCU,1,Yes,33005,693348010,344668872,565341189,-0.46,10.15,60.97,0.65,4.41,4.07,8.35,-2.66,14406
24281,2024.1,2024,1,MOSAIC,31 S Carlton St,Harrisonburg,VA,22801,FCU,1,Yes,3414,11146272,7804444,10260428,0.01,7.71,76.06,-9.59,-3.8,-9.31,-7.53,-6.42,14408
24284,2024.1,2024,1,PLUMBERS & FITTERS LOCAL 675,1109 Bethel St Lowr Level,Honolulu,HI,96813,FCU,3,No,862,2689976,526541,2291926,1.09,14.61,22.97,-13.66,15.86,-10.61,1.53,12.56,14411
24286,2024.1,2024,1,NEBRASKA ENERGY,P.O. BOX 499,COLUMBUS,NE,68602,FCU,3,No,12571,309471449,271305731,251926987,0.76,17.74,107.69,-7.28,4.92,-4.49,5.25,7.3,14413
24290,2024.1,2024,1,UNIVERSITY OF PENNSYLVANIA STUDENTS,3401 Walnut St Ste 431A,Philadelphia,PA,19104,FCU,1,Yes,714,5763085,354924,4874628,0.45,14.99,7.28,-28.14,-8.63,-25.49,-16.98,-6.67,14417
24292,2024.1,2024,1,NORTHROP GRUMMAN,Box 47009,Gardena,CA,90247,FCU,3,No,74939,1813973532,863087916,1394037221,0.33,7.89,61.91,-3.07,4.77,12.72,4.52,2.86,14419
24299,2024.1,2024,1,SANTA CLARA COUNTY,"2099 Gateway Place, Suite 140",San Jose,CA,95110,FCU,3,Yes,47481,954145240,508510033,881252818,0.76,9.58,57.7,0.29,-1.85,-0.94,-0.64,6.61,14425
24304,2024.1,2024,1,BORDER,PO Box 420728,Del Rio,TX,78842,FCU,2,Yes,27490,246433027,140355592,191297852,1.84,15.61,73.37,0.34,12.17,3.76,4.74,4.14,14430
24312,2024.1,2024,1,NORTH COUNTRY,PO BOX 64709,BURLINGTON,VT,05406,FCU,1,No,71313,978809062,775768376,874608384,0.82,9.64,88.7,5.3,5.0,5.88,5.84,9.03,14438
24313,2024.1,2024,1,ARGENT,POST OFFICE BOX 72,CHESTERFIELD,VA,23832,FCU,1,Yes,35098,498348792,325071249,452633402,1.95,8.4,71.82,24.66,24.71,19.09,25.7,24.55,14439
24324,2024.1,2024,1,MET TRAN,"1900 Main Street, Ste 2023",Houston,TX,77002,FCU,2,Yes,2522,10814291,6045240,9092941,1.55,13.83,66.48,-2.04,29.13,-1.96,4.69,3.97,14450
24326,2024.1,2024,1,CHEVRON,2300 Clayton Rd Ste 700,Concord,CA,94520,FCU,3,No,136219,4936515380,4054539053,4287981629,0.78,12.47,94.56,1.91,0.34,1.85,2.54,0.84,14451
24327,2024.1,2024,1,SIOUXLAND,3000 Plaza Dr,South Sioux Cit,NE,68776,FCU,3,Yes,26878,319439705,216739584,279928928,0.93,11.08,77.43,23.6,10.7,21.24,19.26,5.62,14452
24358,2024.1,2024,1,ST. PAUL,1330 CONWAY ST STE 200,SAINT PAUL,MN,55106,FCU,3,Yes,14742,260792870,199895767,217098627,0.4,11.17,92.08,-0.46,3.51,4.17,0.81,-1.1,14482
24362,2024.1,2024,1,AFFINITY PLUS,175 W LAFAYETTE FRONTAGE RD,SAINT PAUL,MN,55107,FCU,3,Yes,268021,4231591641,3712853072,3680127612,0.11,8.2,100.89,1.8,6.29,3.17,6.51,7.81,14486
24373,2024.1,2024,1,LOCAL UNION 392,"1228 Central Parkway, Suite 302",Cincinnati,OH,45202,FCU,2,No,2673,15160356,11915970,12851912,0.69,14.84,92.72,-4.99,5.08,-4.08,1.87,0.33,20416
24381,2024.1,2024,1,DELTA COUNTY,100 CIRCLE DR,DELTA,CO,81416,FCU,3,Yes,4604,79376925,24114965,72903666,0.22,7.96,33.08,-8.62,-3.58,-7.71,-3.76,3.07,19155
24382,2024.1,2024,1,CREDIT HUMAN,1703 Broadway,San Antonio,TX,78215,FCU,2,Yes,246431,4253860740,3857134792,3486635131,-0.5,7.83,110.63,23.15,19.28,15.86,7.18,-5.74,14993
24384,2024.1,2024,1,NIZARI PROGRESSIVE,14090 SW Freeway Suite 260,Sugar Land,TX,77478,FCU,2,No,17451,373280516,262674870,303575068,1.2,9.02,86.53,10.5,23.68,15.71,6.54,14.5,23829
24385,2024.1,2024,1,BLUE CHIP,5050 DERRY ST,HARRISBURG,PA,17111,FCU,1,No,4576,42138099,20112678,37864207,0.24,11.81,53.12,-5.8,13.85,-6.92,24.79,7.84,14586
24387,2024.1,2024,1,SYRACUSE POSTAL,5640 E TAFT RD,SYRACUSE,NY,13220,FCU,1,No,1075,17643178,3012855,16039736,-0.07,8.27,18.78,-5.7,37.09,-5.25,-3.93,1.17,18159
24390,2024.1,2024,1,TRUSERVICE COMMUNITY,P. O. BOX 25636,LITTLE ROCK,AR,72221,FCU,2,Yes,5135,52457246,40031676,48435965,0.01,8.0,82.65,5.07,5.34,4.96,-0.77,0.93,17946
24396,2024.1,2024,1,NEIGHBORHOOD COMMUNITY,4848 S 120TH ST,OMAHA,NE,68137,FCU,3,No,2459,30277052,6365341,26558374,0.15,11.71,23.97,-4.62,-5.93,-3.76,-2.65,0.5,20397
24402,2024.1,2024,1,ONENEBRASKA,P.O. Box 585,Columbus,NE,68602,FCU,3,No,7242,83511183,57006027,75614902,0.29,9.32,75.39,-3.54,-3.24,-6.39,-3.47,1.1,19743
24404,2024.1,2024,1,CARO,4480 ROSEWOOD DRIVE,COLUMBIA,SC,29209,FCU,2,Yes,7591,132548286,87757208,105592910,0.32,14.22,83.11,-3.52,3.4,5.42,-5.64,3.43,19930
24405,2024.1,2024,1,VERMONT,PO Box 2147,So Burlington,VT,05407,FCU,1,No,54417,946397909,745886348,838276590,0.75,9.64,88.98,-0.29,12.19,0.73,6.89,8.39,18829
24410,2024.1,2024,1,SRP,PO BOX 6730,NORTH AUGUSTA,SC,29861,FCU,2,Yes,199297,1788519315,1095522895,1532362353,1.44,12.68,71.49,2.16,14.8,4.5,4.63,10.7,15138
24414,2024.1,2024,1,BUILDING TRADES,12080 73RD AVE N,MAPLE GROVE,MN,55369,FCU,3,No,17948,221990047,100730773,195534374,0.4,10.31,51.52,5.17,2.69,8.64,5.58,3.69,15240
24421,2024.1,2024,1,LEGACY COMMUNITY,100 CORPORATE RDG STE 200,BIRMINGHAM,AL,35242,FCU,2,Yes,39485,656926857,402849989,581006506,0.22,12.75,69.34,-1.28,3.68,0.07,-1.74,3.85,14633
24422,2024.1,2024,1,UP ARKANSAS,PO Box 736,North Little Ro,AR,72115,FCU,2,Yes,2985,31284329,15775490,24529986,3.25,18.29,64.31,-0.21,15.94,5.82,-3.86,16.5,15042
24423,2024.1,2024,1,PINE BLUFF POSTAL,PO BOX 924,PINE BLUFF,AR,71611,FCU,2,Yes,77,371285,301371,212917,-1.48,42.44,141.54,-27.35,-21.98,-18.55,-4.94,-2.74,15926
24428,2024.1,2024,1,WHITE COUNTY,508 W BEEBE CAPPS EXPY,SEARCY,AR,72143,FCU,2,Yes,2143,18152168,14479931,15265071,0.82,14.3,94.86,5.82,-4.45,4.03,-0.7,5.35,15031
24429,2024.1,2024,1,VA HOSPITAL,4300 W 7TH ST,LITTLE ROCK,AR,72205,FCU,2,Yes,1683,8758782,6595528,7648876,0.14,11.59,86.23,-13.41,-8.34,-11.81,1.2,-0.92,17533
24430,2024.1,2024,1,FORT ROOTS,P.O. BOX 733,NORTH LITTLE RO,AR,72115,FCU,2,Yes,906,5977976,3024204,5188144,0.58,12.74,58.29,-5.11,25.49,-4.04,-0.55,8.48,17939
24431,2024.1,2024,1,COOPERATIVE EXTENSION SERVICE,2301 S UNIVERSITY AVE,LITTLE ROCK,AR,72204,FCU,2,Yes,757,4393999,2982101,3137012,-0.66,26.96,95.06,-7.15,6.46,-6.63,-2.95,-1.31,17532
24432,2024.1,2024,1,NATURAL STATE,PO BOX 422,SEARCY,AR,72145,FCU,2,Yes,1275,8096547,6853563,6621186,0.38,16.89,103.51,1.41,-2.45,2.68,-5.76,5.26,17980
24433,2024.1,2024,1,ARKANSAS TEACHERS,P. O. Box 2518,LIttle Rock,AR,72203,FCU,2,Yes,588,2270803,1653084,2060463,1.43,8.68,80.23,-0.82,5.2,0.36,4.63,11.4,18992
24434,2024.1,2024,1,NORTH LITTLE ROCK EDUCATORS,P.O. Box 687,North Little Ro,AR,72115,FCU,2,Yes,272,830267,352370,711135,0.22,13.95,49.55,-9.42,-1.49,-8.29,-8.72,-2.02,17976
24435,2024.1,2024,1,U.P. EMPLOYEES,1000 W  4TH ST,NORTH LITTLE RO,AR,72114,FCU,2,Yes,688,2900094,813077,2241361,-1.41,22.57,36.28,-17.01,-16.2,-16.75,-0.58,-15.36,17679
24437,2024.1,2024,1,LION,PO BOX 10580,EL DORADO,AR,71730,FCU,2,Yes,2282,17697579,11415990,14748090,1.87,16.01,77.41,-5.94,7.82,-2.89,-1.68,14.3,17388
24438,2024.1,2024,1,ALLEGACY,PO Box 26043,Winston Salem,NC,27114,FCU,2,Yes,175757,2319553671,1785128905,1982778210,0.51,10.82,90.03,5.64,6.11,2.77,0.49,9.28,15178
24439,2024.1,2024,1,ARKANSAS FARM BUREAU,PO Box 31,Little Rock,AR,72203,FCU,2,No,535,7422927,3314614,5417274,2.05,26.87,61.19,-19.75,-5.55,-14.47,-4.97,4.22,17583
24443,2024.1,2024,1,PIONEER VALLEY,246 Brookdale Dr,Springfield,MA,01104,FCU,1,Yes,11534,159261213,126397900,129958153,0.29,10.95,97.26,2.89,14.68,6.54,4.16,4.42,24321
24445,2024.1,2024,1,BP,13501 Katy Fwy Ste 1150,Houston,TX,77079,FCU,2,No,6828,136872558,118111486,119481130,0.1,12.63,98.85,-12.75,-1.43,-11.37,-1.07,1.23,22968
24451,2024.1,2024,1,SPOKANE MEDIA,6103 N Astor St,Spokane,WA,99208,FCU,3,Yes,1199,17307816,10970117,15632300,0.54,8.61,70.18,4.31,4.26,5.26,4.53,10.48,21052
24454,2024.1,2024,1,MID-TEX,P.O. BOX 338,BROWNWOOD,TX,76804,FCU,2,Yes,3215,34535331,18928346,31677619,0.56,7.99,59.75,-2.92,-0.37,-1.9,0.22,8.48,16866
24463,2024.1,2024,1,BRENTWOOD BAPTIST CHURCH,P.O. BOX 450206,HOUSTON,TX,77245,FCU,2,Yes,631,1379788,701238,1276283,0.25,7.37,54.94,-8.12,19.82,-7.84,2.94,-2.98,25755
24464,2024.1,2024,1,KNOXVILLE TEACHERS,711 N. HALL OF FAME DRIVE,KNOXVILLE,TN,37917,FCU,2,No,6758,243252727,174793254,220388319,0.0,10.37,79.31,-2.12,-0.35,-1.07,-0.46,-4.1,23943
24465,2024.1,2024,1,GOVERNMENT EMPLOYEES,PO Box 81535,Austin,TX,78708,FCU,2,Yes,9885,184316786,112559498,168913887,0.72,8.96,66.64,-5.62,3.83,-4.59,-1.12,8.82,22862
24470,2024.1,2024,1,EDUCATION FIRST,7025 Eastex Freeway,Beaumont,TX,77706,FCU,2,Yes,32719,635873522,388388286,543329146,-0.29,8.43,71.48,3.02,6.01,5.1,-4.2,-0.77,22708
24472,2024.1,2024,1,POSTAL EMPLOYEES REGIONAL,PO BOX 126,PAWTUCKET,RI,02862,FCU,1,No,611,6015089,2147577,3310085,1.11,44.89,64.88,-6.41,-0.51,-2.98,-3.93,1.49,24121
24479,2024.1,2024,1,CITY & POLICE,4675 SUNBEAM RD,JACKSONVILLE,FL,32257,FCU,2,Yes,6637,113298874,75646758,106216297,-7.39,6.48,71.22,1.05,3.73,2.02,-0.36,-18.97,22473
24481,2024.1,2024,1,IRVING CITY EMPLOYEES,1408 W Pioneer Dr,Irving,TX,75061,FCU,2,No,4928,79423368,38097894,69383160,2.18,11.34,54.91,-4.09,7.71,-1.97,2.2,8.9,22680
24482,2024.1,2024,1,SOUTH METRO,2573 CREDIT UNION DR,PRIOR LAKE,MN,55372,FCU,3,No,4934,173988609,117693670,153952812,-0.27,8.82,76.45,-2.31,-0.88,-2.5,0.98,-0.71,25793
24483,2024.1,2024,1,EAST END FOOD COOPERATIVE,7516 MEADE ST,PITTSBURGH,PA,15208,FCU,1,Yes,393,1439751,692712,1317090,-1.11,6.75,52.59,8.55,11.22,6.04,5.65,60.67,25797
24484,2024.1,2024,1,UPSTATE,123 Broadbent Way,Anderson,SC,29625,FCU,2,Yes,15899,138454429,87153139,107986590,0.48,8.76,80.71,-2.83,15.34,14.76,2.43,16.88,15154
24486,2024.1,2024,1,CUMBERLAND MUNICIPAL EMPLOYEES,2145 Diamond Hill Road,Cumberland,RI,02864,FCU,1,No,946,8669410,3411500,6945664,0.76,19.11,49.12,-1.17,3.71,0.63,-1.15,4.96,24119
24490,2024.1,2024,1,FIRST CAPITAL,PO Box 7746,York,PA,17404,FCU,1,No,20633,312342688,190181061,279187575,1.19,10.64,68.12,-1.94,2.87,0.44,0.4,20.42,14595
24491,2024.1,2024,1,PALMETTO FIRST,PO Box 3989,Florence,SC,29502,FCU,2,Yes,6300,58756366,38057392,47693828,1.86,18.55,79.8,-7.95,8.39,-6.58,0.46,10.68,15122
24492,2024.1,2024,1,DELTA SCHOOLS,PO BOX 2566,ANTIOCH,CA,94531,FCU,3,Yes,3051,58492517,27526611,52976230,0.94,9.17,51.96,-4.97,4.12,-3.94,-1.33,10.58,18655
24495,2024.1,2024,1,APPALACHIAN COMMUNITY,201 E New St,Kingsport,TN,37660,FCU,2,Yes,12397,168565246,146266258,149880455,0.25,10.68,97.59,-4.23,1.0,-3.39,-0.8,2.43,23964
24501,2024.1,2024,1,WAVE,480 GREENWICH AVE,WARWICK,RI,02886,FCU,1,No,6847,142521230,79115502,124343160,0.47,12.47,63.63,-2.34,9.58,-1.49,0.03,3.86,19908
24506,2024.1,2024,1,EPISCOPAL COMMUNITY,840 Echo Park Ave,Los Angeles,CA,90026,FCU,3,Yes,1159,5949784,1875645,5411593,-0.48,8.9,34.66,-12.02,-9.21,-11.91,-6.0,-2.6,26128
24508,2024.1,2024,1,DADE COUNTY,1500 NW 107th Ave,Sweetwater,FL,33172,FCU,2,Yes,103927,1374412617,872925013,1059812124,1.27,10.99,82.37,1.14,18.52,16.23,2.59,10.04,22482
24511,2024.1,2024,1,MORTON,88 washington st,taunton,MA,02780,FCU,1,No,1045,9752765,4388666,8813955,1.07,9.55,49.79,1.42,32.13,2.33,0.87,11.7,24283
24516,2024.1,2024,1,CLEVELAND SELFRELIANCE,6108 STATE RD,PARMA,OH,44134,FCU,2,No,3316,101751177,20786839,83320931,1.02,17.93,24.95,1.89,4.83,2.77,-2.24,6.44,25237
24520,2024.1,2024,1,SANTA ANA,800 W Santa Ana Blvd,Santa Ana,CA,92701,FCU,3,Yes,5171,102628063,59842249,90089110,0.61,11.3,66.43,1.81,6.6,3.6,-0.96,9.37,21898
24523,2024.1,2024,1,BLACKSTONE RIVER,10 Monument Sq,Woonsocket,RI,02895,FCU,1,Yes,4417,71401737,27176793,63910478,1.11,9.83,42.52,1.72,4.9,2.8,-1.08,8.86,18531
24524,2024.1,2024,1,TINKER,PO Box 45750,Oklahoma City,OK,73145,FCU,2,Yes,463130,6090186438,3606113903,5051031501,1.09,12.48,71.39,-3.14,-3.99,0.4,1.9,10.38,16602
24526,2024.1,2024,1,BRECO,1850 South Sherwood Forest Blvd,Baton Rouge,LA,70816,FCU,2,Yes,5240,52749624,35925860,47171186,-0.81,10.46,76.16,-1.49,3.28,-1.46,-0.74,-0.04,17014
24530,2024.1,2024,1,PRESIDENTS,4135 STATE ROUTE 128,CLEVES,OH,45002,FCU,2,No,1296,15621363,5409734,13852913,1.87,10.6,39.05,-5.08,2.21,-4.11,-6.15,14.75,15762
24532,2024.1,2024,1,COVENANT SAVINGS,2904 E. Stan Schlueter loop Bldg. A,Killeen,TX,76542,FCU,2,Yes,1285,3661740,2515239,3256426,1.32,9.99,77.24,-12.48,18.21,-9.65,-1.61,15.0,26195
